2026-04-17 18:13:42.766 IST [7872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.402 s, sync=0.009 s, total=0.423 s; sync files=5, longest=0.006 s, average=0.002 s; distance=8 kB, estimate=1812 kB; lsn=0/1E84B80, redo lsn=0/1E84B28
2026-04-17 19:13:42.859 IST [7872] LOG:  checkpoint starting: time
2026-04-17 19:13:43.302 IST [7872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.423 s, sync=0.009 s, total=0.443 s; sync files=5, longest=0.006 s, average=0.002 s; distance=9 kB, estimate=1632 kB; lsn=0/1E87178, redo lsn=0/1E87120
2026-04-17 19:43:42.330 IST [7872] LOG:  checkpoint starting: time
2026-04-17 19:43:42.788 IST [7872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.436 s, sync=0.012 s, total=0.458 s; sync files=5, longest=0.006 s, average=0.003 s; distance=10 kB, estimate=1470 kB; lsn=0/1E89A88, redo lsn=0/1E89A30
2026-04-17 20:08:42.824 IST [7872] LOG:  checkpoint starting: time
2026-04-17 20:08:43.276 IST [7872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.435 s, sync=0.005 s, total=0.452 s; sync files=5, longest=0.002 s, average=0.001 s; distance=11 kB, estimate=1324 kB; lsn=0/1E8C6D8, redo lsn=0/1E8C680
2026-04-17 20:13:42.279 IST [7872] LOG:  checkpoint starting: time
2026-04-17 20:13:43.281 IST [7872] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.949 s, sync=0.016 s, total=1.002 s; sync files=10, longest=0.007 s, average=0.002 s; distance=35 kB, estimate=1195 kB; lsn=0/1E953D0, redo lsn=0/1E95378
2026-04-17 21:23:42.385 IST [7872] LOG:  checkpoint starting: time
2026-04-17 21:23:42.824 IST [7872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.427 s, sync=0.005 s, total=0.441 s; sync files=5, longest=0.001 s, average=0.001 s; distance=12 kB, estimate=1077 kB; lsn=0/1E98740, redo lsn=0/1E986E8
